Hoa Vinh; 8000005 3360.0 NH:0 LC:0 X:1 RX:0
Hoàng Văn Bình; 8000001 6160.0 NH:0 LC:2 X:0 RX:0
Lâm Xung; 8000003 15680.0 NH:1 LC:0 X:1 RX:2
Sử Tiến; 8000004 0.0 NH:0 LC:0 X:0 RX:0
Trần Văn An; 8000000 1120.0 NH:1 LC:0 X:0 RX:0
Trần Văn An; 8000006 4480.0 NH:0 LC:0 X:0 RX:1
Yến Thanh; 8000002 4480.0 NH:0 LC:0 X:0 RX:1
===========
35280.0
===========
8000000 4 18.23 14/6/2006 NH
8000003 4 6.53 14/6/2006 NH
8000001 7 22.23 14/6/2006 LC
8000001 4 9.23 14/6/2006 LC
8000005 4 5.23 14/6/2006 X
8000003 4 8.23 14/6/2006 X
8000003 6 9.53 15/6/2006 RX
8000003 4 7.23 14/6/2006 RX
8000002 4 23.23 14/6/2006 RX
8000006 4 0.23 14/6/2006 RX
